"","year","industry_macro_short","avg_operating_income_ada","avg_net_debt","avg_total_current_assets","avg_current_ratio"
"1",2017,"BAS",46258.5462068965,42868.0055248619,109119.28769018,7.1989014084507
"2",2017,"CSD",171717.406779661,611335.016949153,389754.627118644,2.98915254237288
"3",2017,"CST",44481.0769230769,246145.784615385,163641.430769231,2.92837209302326
"4",2017,"ENE",48678.0045454545,148029.127853881,208548.381818182,5.49691244239631
"5",2017,"FIN",56832.6330275229,158044.76146789,164482.318181818,10.3782352941176
"6",2017,"HEA",24378.2402597403,77405.1298701299,93040.4220779221,5.98576158940397
"7",2017,"IND",81790.4682080925,218759.884726225,216950.544412607,4.39066282420749
"8",2017,"REA",-7556.64705882353,48993.8529411765,99933.3235294118,1.67647058823529
"9",2017,"TEC",5468.94155844156,1747.01948051948,29506.2662337662,4.54638157894737
"10",2018,"BAS",57099.5700549451,29565.5027472527,135516.796423659,7.6352216066482
"11",2018,"CSD",160747.101694915,677481.847457627,403609.745762712,1.53728813559322
"12",2018,"CST",54909.5546875,270286.8203125,182629.4296875,3.38582677165354
"13",2018,"ENE",83170.75,135835.018181818,236584.940909091,5.69506849315068
"14",2018,"FIN",67868.7289719626,159813.971698113,171588.490566038,10.0884158415842
"15",2018,"HEA",30251.608974359,39256.5,144419.006410256,6.7959477124183
"16",2018,"IND",69011.7286135693,204242.838616715,227325.017191977,4.57650429799427
"17",2018,"REA",17446.6875,47440.53125,104477.6875,1.5796875
"18",2018,"TEC",5809.7,6355.37106918239,40052.34375,3.50364779874214
"19",2019,"BAS",56188.7479224377,35057.3097222222,119233.368200837,6.69200848656294
"20",2019,"CSD",160436.983050847,743958.033898305,435179.966101695,1.51389830508475
"21",2019,"CST",48132.344,316295.416,195235.48,3.48632
"22",2019,"ENE",97885.6542056075,160587.887850467,262919.130841121,4.8712676056338
"23",2019,"FIN",48129.6310679612,187731.941176471,174267.446601942,9.31811881188119
"24",2019,"HEA",26524.0817610063,78852.106918239,100984.937106918,5.495
"25",2019,"IND",55984.4092307692,262937.333333333,274387.349253731,4.69844311377245
"26",2019,"REA",3003.24137931034,86669.0689655172,106955.586206897,1.27137931034483
"27",2019,"TEC",3503.80981595092,3604.11656441718,50654.6073619632,2.59037267080745
"28",2020,"BAS",64512.2833333333,39382.6787709497,133999.029411765,6.7460485021398
"29",2020,"CSD",54447.2631578947,847871.385964912,420735.701754386,1.87157894736842
"30",2020,"CST",44678.8968253968,364169.849206349,204245.388888889,3.23222222222222
"31",2020,"ENE",47102.0428571429,234858.736842105,285127.086124402,4.88062801932367
"32",2020,"FIN",52908.1041666667,223876.042105263,188065.6875,9.03521739130435
"33",2020,"HEA",20671.6645962733,66168.7329192547,130973.658385093,5.12063694267516
"34",2020,"IND",12216.95625,302543.829268293,331844.009118541,4.57867692307692
"35",2020,"REA",-27931.3846153846,77753.2692307692,101375.5,1.71923076923077
"36",2020,"TEC",2992.3961038961,1424.92207792208,54681.1298701299,2.92542483660131
"37",2021,"BAS",123970.211048159,5175.66903409091,164139.161931818,9.78487068965517
"38",2021,"CSD",-30348.7222222222,707388.851851852,411905.796296296,1.56574074074074
"39",2021,"CST",50620.4132231405,310523.258333333,244654.916666667,3.60416666666667
"40",2021,"ENE",106346.089108911,141838.797029703,373199.440594059,6.00398009950249
"41",2021,"FIN",56811,166896.058823529,237319.247058824,6.60925
"42",2021,"HEA",42412.8947368421,57427.3092105263,145246.703947368,7.47691275167785
"43",2021,"IND",64068.2566666667,253566.714285714,351647.16828479,5.19902597402597
"44",2021,"REA",41506.1304347826,66261.1304347826,108478.043478261,1.78521739130435
"45",2021,"TEC",8011.47887323944,-6161.14788732394,75272.8309859155,3.27163120567376
